timestamp,brightness,contrast,blur,entropy
2025-06-09 20:25:33,104.56,56.09,47.85,7.45
2025-06-09 20:25:33,104.29,55.9,49.13,7.43
2025-06-09 20:25:33,103.57,56.2,50.62,7.45
2025-06-09 20:25:33,103.4,56.33,50.52,7.45
2025-06-09 20:25:33,102.78,56.76,49.87,7.47
2025-06-09 20:25:33,103.59,56.85,50.6,7.46
2025-06-09 20:25:34,103.64,56.81,51.36,7.47
2025-06-09 20:25:34,103.47,56.84,51.18,7.47
2025-06-09 20:25:34,103.46,56.85,50.92,7.46
2025-06-09 20:25:34,103.28,57.02,52.48,7.46
2025-06-09 20:25:34,103.27,57.0,52.92,7.46
2025-06-09 20:25:34,102.96,57.14,52.6,7.47
2025-06-09 20:25:34,102.88,57.28,52.65,7.46
2025-06-09 20:25:34,102.94,57.45,53.44,7.48
2025-06-09 20:25:34,103.57,57.03,52.64,7.47
2025-06-09 20:25:34,103.35,57.13,52.15,7.48
2025-06-09 20:25:34,103.13,57.31,52.98,7.49
2025-06-09 20:25:34,103.79,56.7,51.8,7.46
2025-06-09 20:25:34,104.14,56.03,52.37,7.45
2025-06-09 20:25:34,104.08,56.01,51.72,7.45
2025-06-09 20:25:34,104.37,55.79,51.48,7.44
2025-06-09 20:25:34,104.51,55.76,51.64,7.43
2025-06-09 20:25:34,104.59,55.72,51.19,7.43
2025-06-09 20:25:34,104.35,55.75,50.78,7.44
2025-06-09 20:25:34,105.33,55.29,50.24,7.44
2025-06-09 20:25:35,104.53,54.76,49.28,7.41
2025-06-09 20:25:35,104.72,54.6,48.98,7.4
2025-06-09 20:25:35,104.74,54.58,48.84,7.4
2025-06-09 20:25:35,113.76,37.56,60.82,7.0
2025-06-09 20:25:35,113.74,38.0,64.28,7.01
2025-06-09 20:25:35,113.94,38.04,60.79,7.01
2025-06-09 20:25:35,113.49,37.38,65.37,6.95
2025-06-09 20:25:35,114.39,37.7,66.12,6.95
2025-06-09 20:25:35,113.63,38.95,67.14,6.99
2025-06-09 20:25:35,112.74,40.01,66.31,7.02
2025-06-09 20:25:35,111.48,42.72,68.3,7.13
2025-06-09 20:25:35,111.27,42.97,65.58,7.09
2025-06-09 20:25:35,110.46,44.45,66.0,7.13
2025-06-09 20:25:35,109.93,45.61,65.79,7.17
2025-06-09 20:25:35,110.06,45.54,65.42,7.16
2025-06-09 20:25:35,109.6,46.47,67.86,7.19
2025-06-09 20:25:35,109.07,47.44,68.71,7.23
2025-06-09 20:25:36,108.51,48.33,69.75,7.26
2025-06-09 20:25:36,109.6,47.52,66.95,7.26
2025-06-09 20:25:36,110.17,46.17,67.34,7.22
2025-06-09 20:25:36,110.55,45.63,65.53,7.2
2025-06-09 20:25:36,110.04,46.01,65.28,7.22
2025-06-09 20:25:36,109.78,46.94,65.21,7.25
2025-06-09 20:25:36,109.33,47.37,63.83,7.26
2025-06-09 20:25:36,109.51,47.12,65.27,7.27
2025-06-09 20:25:36,110.52,46.26,65.09,7.22
2025-06-09 20:25:36,109.3,47.18,65.95,7.24
2025-06-09 20:25:36,109.76,47.35,64.78,7.29
2025-06-09 20:25:36,110.72,46.08,68.2,7.24
2025-06-09 20:25:36,109.98,46.6,67.99,7.26
2025-06-09 20:25:36,109.63,47.0,67.23,7.26
2025-06-09 20:25:36,109.38,47.58,67.7,7.28
2025-06-09 20:25:36,109.21,48.07,69.04,7.31
2025-06-09 20:25:37,108.94,46.74,64.6,7.28
